Player,Pos,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,FG%,3P%,2P%,eFG%,FT%
Alex Abrines,SG,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,0.393,0.381,0.426,0.531,0.898
Quincy Acy,PF,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.412,0.411,0.413,0.521,0.75
Steven Adams,C,0.392,13,15.5,14.2,5.4,1.8,2.6,16,16.2,0.571,0,0.572,0.571,0.611
Arron Afflalo,SG,0.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,0.44,0.411,0.457,0.514,0.892
Alexis Ajinca,C,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0.5,0,0.511,0.5,0.725
Cole Aldrich,C,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.523,,0.523,0.523,0.682
LaMarcus Aldridge,PF,0.258,8.6,16.6,12.7,9.9,1,3.1,7.7,24.5,0.477,0.411,0.48,0.488,0.812
Lavoy Allen,PF,0.196,13.7,14.6,14.2,9.1,1,2.4,13.7,10.9,0.458,0,0.461,0.458,0.697
Tony Allen,SG,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.461,0.278,0.479,0.473,0.615
Al-Farouq Aminu,SF,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,0.393,0.33,0.445,0.468,0.706
Chris Andersen,C,0.636,9,20.6,15,5.9,2.2,5,15.1,13,0.409,0,0.474,0.409,0.714
Alan Anderson,SF,0.2,1.1,7.4,4.4,4.9,0.5,0,7.4,13.7,0.375,0.318,0.444,0.463,0.75
Justin Anderson,SF,0.294,6.2,16.9,11.3,8.8,1.7,1.6,11.7,20.9,0.424,0.299,0.522,0.49,0.791
Kyle Anderson,SG,0.273,3.7,19,11.5,12.4,2.5,2.1,14.3,12.1,0.445,0.375,0.462,0.481,0.789
Ryan Anderson,PF,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,0.418,0.403,0.446,0.55,0.86
Giannis Antetokounmpo,SF,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,0.521,0.272,0.563,0.541,0.77
Carmelo Anthony,SF,0.263,2.6,15.9,9.3,14.5,1.2,1.1,9,29.1,0.433,0.359,0.466,0.488,0.833
Joel Anthony,C,0.5,7.6,20.9,14.4,3.4,0.8,4,17,8.7,0.625,,0.625,0.625,0.625
Trevor Ariza,SF,0.158,2.1,15.9,9,8.8,2.5,0.6,8,14.1,0.409,0.344,0.556,0.528,0.738
Darrell Arthur,PF,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.442,0.453,0.429,0.565,0.864
Omer Asik,C,0.6,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,0.477,,0.477,0.477,0.59
D.J. Augustin,PG,0.311,1,7.4,4.1,20.4,1,0.1,13.3,19.4,0.377,0.347,0.412,0.469,0.814
Luke Babbitt,SF,0.053,1.3,13.5,7.4,4.8,1,0.8,8,13,0.402,0.414,0.366,0.557,0.733
Ron Baker,SG,0.198,1.5,10.8,6.2,17.3,2,0.8,19.2,14.8,0.378,0.267,0.45,0.431,0.651
Wade Baldwin,PG,0.322,3,10.2,6.5,22.8,2.3,1.7,23.4,19.2,0.313,0.136,0.355,0.326,0.838
Leandro Barbosa,SG,0.115,1.6,10.3,5.9,13,1.5,0.7,10.4,20,0.439,0.357,0.466,0.483,0.889
J.J. Barea,PG,0.149,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2,0.414,0.358,0.456,0.491,0.863
Harrison Barnes,PF,0.22,3.7,13.2,8.2,7.8,1.2,0.5,6.8,25.3,0.468,0.351,0.492,0.498,0.861
Matt Barnes,SF,0.188,4.6,19.9,12.4,15.6,1.3,1.3,17.3,15.6,0.391,0.331,0.467,0.483,0.787
Will Barton,SG,0.285,3.8,12.8,8.4,17.7,1.4,1.3,11.5,21.1,0.443,0.37,0.483,0.508,0.753
Brandon Bass,PF,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,0.575,0.333,0.579,0.578,0.875
Nicolas Batum,SG,0.291,1.9,18.4,10.1,27.6,1.6,1,15,22.3,0.403,0.333,0.453,0.472,0.856
Jerryd Bayless,PG,0.313,4.6,14,9.3,29.4,0,0,19.8,27.7,0.344,0.4,0.333,0.375,0.9
Aron Baynes,C,0.337,10,21.6,15.6,3.9,0.7,2.8,13.5,14.1,0.513,,0.513,0.513,0.84
Kent Bazemore,SF,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,0.409,0.346,0.446,0.473,0.708
Bradley Beal,SG,0.259,2.2,7.8,5,16.2,1.5,0.7,9.6,26.5,0.482,0.404,0.538,0.566,0.825
Malik Beasley,SG,0.137,3.4,8,5.7,10.2,2.1,0,9.4,22,0.452,0.321,0.533,0.514,0.8
Michael Beasley,PF,0.259,5,18.9,12,9.9,1.5,2.5,12.7,25.3,0.532,0.419,0.545,0.554,0.743
Marco Belinelli,SG,0.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,0.429,0.36,0.488,0.512,0.893
DeAndre' Bembry,SF,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,0.48,0.056,0.575,0.485,0.375
Dragan Bender,PF,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,0.354,0.277,0.483,0.441,0.364
Anthony Bennett,PF,0.391,10.1,21,15.6,7.1,0.9,0.9,10,19.4,0.413,0.271,0.568,0.484,0.722
Ben Bentil,PF,0,0,24.4,11.6,0,0,0,25,18.9,0,0,0,0,
Davis Bertans,PF,0.145,3.2,10.6,6.9,8.3,1.3,2.8,11.4,15.7,0.44,0.399,0.557,0.588,0.824
Patrick Beverley,SG,0.175,5,15.9,10.4,18.8,2.3,1,14.6,14.1,0.42,0.382,0.463,0.521,0.768
Bismack Biyombo,C,0.69,9.3,25.6,17.2,6,0.7,4.1,17.7,13.2,0.528,,0.528,0.528,0.534
Nemanja Bjelica,PF,0.171,5.5,18.6,12,9.6,1.7,1.4,13.4,16.4,0.424,0.316,0.531,0.503,0.738
Tarik Black,C,0.371,13.8,20.7,17.1,5.3,1.3,3.3,14.5,15.7,0.51,0.5,0.51,0.512,0.752
Eric Bledsoe,PG,0.443,2.5,13.8,8,31.1,2,1.2,15.3,28.1,0.434,0.335,0.477,0.485,0.847
Bojan Bogdanovic,SF,0.288,1.9,12.3,7.2,8.7,0.8,0.3,12,22.4,0.445,0.367,0.512,0.53,0.893
Bojan Bogdanovic,SF,0.325,2.6,12.3,7.5,5.2,0.8,0.6,12.4,22.2,0.457,0.391,0.521,0.553,0.934
Andrew Bogut,C,0.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4,0.469,0,0.475,0.469,0.273
Joel Bolomboy,PF,0.375,9,27.6,18.5,6.3,1,3.1,9.7,18.2,0.563,0.25,0.667,0.594,0.5
Devin Booker,SG,0.308,1.8,8.3,5,16.3,1.3,0.6,12.9,28.6,0.423,0.363,0.447,0.475,0.832
Trevor Booker,PF,0.186,8.7,25.5,17.2,12.9,2.1,1.2,16.6,18.7,0.516,0.321,0.546,0.537,0.673
Avery Bradley,SG,0.12,4,16.2,10.1,10.9,1.8,0.5,9.7,21.9,0.463,0.39,0.504,0.533,0.731
Corey Brewer,SF,0.195,2.7,11.5,7.1,10.7,2.3,1.2,12.7,14.3,0.422,0.229,0.522,0.461,0.735
Malcolm Brogdon,SG,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,0.457,0.404,0.48,0.518,0.865
Aaron Brooks,PG,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,0.403,0.375,0.424,0.483,0.8
Anthony Brown,SF,0,5.3,16.9,11,7.6,1.5,0.5,10.7,15.6,0.36,0.259,0.478,0.43,
Bobby Brown,PG,0.033,0,5.3,2.7,17.6,0.4,0,7.6,22.7,0.383,0.4,0.36,0.5,1
Jaylen Brown,SF,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.454,0.341,0.507,0.508,0.685
Nicolas Brussino,SF,0.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16,0.369,0.305,0.5,0.472,0.773
Reggie Bullock,SF,0.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,0.422,0.384,0.473,0.531,0.714
Trey Burke,PG,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,0.455,0.443,0.459,0.516,0.759
Alec Burks,SG,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11,22.7,0.399,0.329,0.43,0.45,0.769
Jimmy Butler,SF,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,0.455,0.367,0.477,0.492,0.865
Bruno Caboclo,SF,0,14.2,14.1,14.1,15.1,2.5,2.2,11.1,20.1,0.375,0.333,0.4,0.438,
Jose Calderon,PG,0.09,3,12.2,7.5,23.3,1,0.2,22.7,14.4,0.41,0.313,0.5,0.485,0.917
Kentavious Caldwell-Pope,SG,0.199,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,0.399,0.35,0.442,0.481,0.832
Isaiah Canaan,SG,0.191,1.1,7.9,4.5,9,1.9,0.1,9.6,15.3,0.364,0.266,0.481,0.436,0.909
Clint Capela,C,0.314,12.5,24.5,18.5,6.9,1.1,4.2,12,19.9,0.643,,0.643,0.643,0.531
DeMarre Carroll,SF,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.3,15.5,0.401,0.341,0.485,0.5,0.761
Vince Carter,SF,0.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9,0.394,0.378,0.418,0.508,0.765
Michael Carter-Williams,PG,0.252,3,16.4,9.7,20,2.3,2.2,16.3,20.9,0.366,0.234,0.401,0.391,0.753
Omri Casspi,SF,0.176,4.9,15.2,10.1,8.6,1.8,0.4,14,14.5,0.467,0.349,0.508,0.512,0.586
Willie Cauley-Stein,C,0.314,7,20.5,13.8,9.4,1.9,2.9,11.2,19.6,0.53,0,0.532,0.53,0.669
Tyson Chandler,C,0.544,12.6,33.1,22.6,3.3,1.2,1.5,19.2,11.3,0.671,,0.671,0.671,0.734
Wilson Chandler,SF,0.207,5.2,17.7,11.5,9.8,1.2,1.1,10,22,0.461,0.337,0.527,0.52,0.727
Marquese Chriss,PF,0.286,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,0.449,0.321,0.52,0.506,0.624
Rakeem Christmas,PF,0.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1,0.442,,0.442,0.442,0.724
Semaj Christon,PG,0.139,2.2,7.9,5,18.1,1.4,0.5,15.4,12.2,0.345,0.19,0.406,0.372,0.548
Ian Clark,SG,0.134,2.3,9.1,5.9,11.2,1.7,0.6,10.7,19.5,0.487,0.374,0.556,0.558,0.759
Jordan Clarkson,SG,0.157,2.2,9.3,5.6,14.4,1.8,0.3,12.5,23.3,0.445,0.329,0.503,0.5,0.798
Norris Cole,PG,0.192,0,9.8,4.9,16.3,3.1,0,11,21.5,0.308,0.231,0.333,0.337,0.8
Darren Collison,PG,0.239,1.3,7.2,4.3,24.5,1.6,0.4,12.6,19.8,0.476,0.417,0.495,0.527,0.86
Nick Collison,PF,0.348,7.8,18.2,13,13.2,0.8,1.2,13.1,10.1,0.609,0,0.636,0.609,0.625
Mike Conley,PG,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,0.46,0.408,0.497,0.545,0.859
Pat Connaughton,SG,0.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13,0.514,0.515,0.513,0.632,0.778
Quinn Cook,PG,0.076,0.6,3.6,2,22.8,1.1,0,16,19.6,0.5,0.423,0.55,0.583,0.4
DeMarcus Cousins,C,0.468,7.1,29.2,18.2,25.8,2,3.3,13.5,36.5,0.452,0.36,0.483,0.497,0.772
Robert Covington,SF,0.238,4.8,17.9,11.3,7.5,2.9,2.6,13.9,19.2,0.399,0.333,0.484,0.492,0.822
Allen Crabbe,SG,0.192,0.9,10.2,5.5,6.1,1.2,0.7,8.1,14.9,0.468,0.444,0.49,0.572,0.847
Jamal Crawford,SG,0.234,0.9,5.7,3.3,15.1,1.4,0.5,12.3,22.7,0.413,0.36,0.444,0.48,0.857
Jordan Crawford,SG,0.119,0.9,7.2,4.1,22.7,1.2,0.4,9.8,25.5,0.482,0.389,0.553,0.567,0.769
Jae Crowder,SF,0.301,2.3,17.3,9.9,10.1,1.5,0.8,8.8,17,0.463,0.398,0.54,0.572,0.811
Dante Cunningham,SF,0.075,3.6,14.2,8.9,3.1,1.2,1.4,7,10.7,0.485,0.392,0.579,0.584,0.593
Seth Curry,PG,0.142,1.4,9.2,5.1,15.9,2,0.3,11,19.5,0.481,0.425,0.528,0.578,0.85
Stephen Curry,PG,0.251,2.7,11.4,7.3,31.1,2.6,0.5,13,30.1,0.468,0.411,0.537,0.58,0.898
Troy Daniels,SG,0.109,2,7.9,4.8,6.6,0.9,0.3,8,21.7,0.374,0.389,0.336,0.513,0.796
Anthony Davis,C,0.424,6.7,27.9,17.3,11.1,1.7,5.1,9.1,32.6,0.504,0.299,0.524,0.517,0.802
Deyonta Davis,C,0.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12,0.511,,0.511,0.511,0.556
Ed Davis,PF,0.57,13.4,20.7,17.1,4.8,0.9,2.2,17.2,12,0.528,,0.528,0.528,0.617
Dewayne Dedmon,C,0.359,11.2,30.5,21.1,4.8,1.4,3.7,16.9,12.3,0.622,,0.622,0.622,0.699
Sam Dekker,SF,0.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9,0.473,0.321,0.591,0.543,0.559
Malcolm Delaney,PG,0.24,1,9.8,5.5,23.1,1.5,0.1,18.1,18.3,0.374,0.236,0.428,0.407,0.806
Matthew Dellavedova,PG,0.18,1.4,7.1,4.3,25.7,1.4,0,18.8,16.3,0.39,0.367,0.404,0.463,0.854
Luol Deng,SF,0.149,4.5,17.7,10.8,7,1.6,1.1,8.7,14.2,0.387,0.309,0.436,0.447,0.73
DeMar DeRozan,SG,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,0.467,0.266,0.484,0.477,0.842
Cheick Diallo,PF,0.276,12.1,26.7,19.3,3.2,1,2.9,7.6,20.5,0.474,,0.474,0.474,0.714
Boris Diaw,PF,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,0.446,0.247,0.512,0.477,0.743
Gorgui Dieng,PF,0.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14,0.502,0.372,0.511,0.514,0.814
Spencer Dinwiddie,PG,0.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,0.444,0.376,0.478,0.507,0.792
Toney Douglas,PG,0.248,3.7,14.3,8.9,22.2,2.4,1.2,13.9,17.4,0.368,0.167,0.48,0.397,0.828
Goran Dragic,PG,0.335,2.7,9.9,6.3,29,1.8,0.4,14.1,27.1,0.475,0.405,0.499,0.527,0.79
Andre Drummond,C,0.39,15.1,36.3,25.3,5.9,2.6,3.1,12.5,22.4,0.53,0.286,0.532,0.531,0.386
Jared Dudley,PF,0.188,2.4,15.9,9,12.5,1.5,0.9,16.1,13.7,0.454,0.379,0.559,0.565,0.662
Mike Dunleavy,SF,0.205,2.4,12.4,7.5,8.6,0.9,0.7,10.5,14,0.423,0.396,0.465,0.543,0.8
Kris Dunn,PG,0.188,2.1,12.6,7.3,19.4,3,2.3,20.8,14.2,0.377,0.288,0.404,0.411,0.61
Kevin Durant,SF,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,0.537,0.375,0.608,0.594,0.875
Jarell Eddie,SF,0.474,1.7,10.8,6.1,0,0.8,0,4.2,16.2,0.316,0.25,0.667,0.421,0.889
Henry Ellenson,PF,0.125,5.8,25.6,15.3,7.2,0.3,0.6,17.2,24.7,0.359,0.286,0.448,0.438,0.5
Wayne Ellington,SG,0.077,1.3,8.6,4.9,7.1,1.2,0.2,5,17.9,0.416,0.378,0.509,0.55,0.86
Monta Ellis,SG,0.23,1.1,10.3,5.7,17.2,2,1.2,18,16.8,0.443,0.319,0.483,0.482,0.727
Joel Embiid,C,0.569,8.5,25.6,17,16,1.7,7.7,17.9,36,0.466,0.367,0.495,0.508,0.783
James Ennis,SF,0.343,5.1,14.9,9.9,6.5,1.6,1.2,13.8,13,0.455,0.372,0.516,0.534,0.782
Tyler Ennis,PG,0.12,1.8,6.8,4.3,21.7,2.1,0.3,17,19.1,0.433,0.386,0.457,0.498,0.84
Tyreke Evans,SF,0.249,1.8,17.1,9.5,25.9,2.2,1,12.9,26.7,0.405,0.356,0.429,0.462,0.75
Dante Exum,PG,0.201,2.9,9.3,6.2,14.2,0.9,0.8,16.8,18.1,0.427,0.295,0.519,0.488,0.795
Kenneth Faried,PF,0.454,15.7,23.6,19.7,6.3,1.6,2.4,10.4,18.3,0.548,0,0.556,0.548,0.693
Jordan Farmar,PG,0,3.3,6.5,4.9,38.6,2.9,0,20,19.4,0.333,0.444,0,0.5,
Derrick Favors,PF,0.261,9.2,20.2,14.9,7.9,2,2.7,11.4,20.7,0.487,0.3,0.491,0.49,0.615
Kay Felder,PG,0.31,0.9,10.5,5.9,22.7,2.3,1.5,14.7,24.3,0.392,0.318,0.404,0.415,0.714
Cristiano Felicio,C,0.419,12.8,19.5,16.1,5.7,1.2,1.2,11.2,12.4,0.577,,0.577,0.577,0.645
Raymond Felton,PG,0.125,2.2,11.8,7.1,16.3,2,1.1,13.3,16.5,0.43,0.319,0.473,0.475,0.781
Yogi Ferrell,PG,0.226,1.8,9.2,5.3,23.2,1.8,0.7,13.9,19.6,0.406,0.386,0.422,0.492,0.831
Dorian Finney-Smith,PF,0.183,3.7,12.3,7.8,6,1.6,1.4,11.1,11.6,0.372,0.293,0.479,0.456,0.754
Bryn Forbes,SG,0.061,0.8,8.2,4.6,11.7,0.2,0,9.8,17.9,0.364,0.321,0.413,0.449,0.833
Evan Fournier,SG,0.298,2.1,8.3,5.1,14.8,1.5,0.1,11.8,23.5,0.439,0.356,0.491,0.508,0.805
Randy Foye,SG,0.194,0.8,11.9,6.4,15.2,1.3,0.5,18.5,14.4,0.363,0.33,0.418,0.466,0.857
Tim Frazier,PG,0.319,2.3,9.7,6,31.4,1.8,0.3,18,16.3,0.403,0.313,0.446,0.453,0.76
Channing Frye,C,0.142,3,19.3,11.4,4.9,1.2,2.1,8.8,19.3,0.458,0.409,0.546,0.589,0.851
Danilo Gallinari,SF,0.516,2,14.7,8.4,9.1,0.9,0.5,8.1,19.9,0.447,0.389,0.491,0.531,0.902
Langston Galloway,PG,0.117,1.9,9.3,5.6,9.4,1.5,0.3,7.4,18.4,0.38,0.39,0.367,0.49,0.797
Patricio Garino,SG,0,2.5,15.6,8.9,0,0,0,30,10.2,0,0,0,0,
Marc Gasol,C,0.286,2.6,18.7,10.4,24.8,1.4,3.7,11.3,26.4,0.459,0.388,0.48,0.503,0.837
Pau Gasol,C,0.305,7.6,26.8,17.4,14.7,0.8,3.5,10.6,21.3,0.502,0.538,0.494,0.548,0.707
Rudy Gay,SF,0.312,4,17.5,10.8,13.9,2.2,2.3,12.8,25.8,0.455,0.372,0.483,0.502,0.855
Michael Gbinije,SG,0.2,6.6,3.5,5.1,7.9,0,0,0,15,0.1,0,0.167,0.1,1
Alonzo Gee,SF,0.643,5,13.5,9.3,8.2,2.7,0.9,18.2,10.5,0.214,0,0.273,0.214,0.556
Paul George,SF,0.277,2.5,17.9,10.3,16.1,2.2,0.9,12.6,28.9,0.461,0.393,0.501,0.533,0.898
Marcus Georges-Hunt,SG,1.429,2.2,18.7,10.2,8.3,1,0,14.9,12.3,0.286,0.5,0.2,0.357,0.9
Jonathan Gibson,PG,0.305,0.5,11.1,5.5,18.8,1.8,0,16.3,26.3,0.368,0.333,0.4,0.447,0.724
Taj Gibson,PF,0.223,8.6,18,13.2,5.9,1.1,2.6,11.9,19.3,0.515,0.231,0.52,0.517,0.715
Manu Ginobili,SG,0.244,2.5,11.1,6.9,20.8,3.2,1,16.5,20.4,0.39,0.392,0.387,0.491,0.804
Rudy Gobert,C,0.763,13.6,29.5,21.8,5.7,0.9,6.4,15.1,16.7,0.662,0,0.663,0.662,0.653
Archie Goodwin,SG,0.636,3.5,10.3,6.9,18.5,0.9,1.8,14.2,19.8,0.545,0.333,0.608,0.583,0.786
Aaron Gordon,SF,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,0.454,0.288,0.528,0.499,0.719
Eric Gordon,SG,0.172,1.4,8.1,4.7,12.3,1,1.4,10,22.1,0.406,0.372,0.468,0.527,0.84
Marcin Gortat,C,0.236,10.6,26.8,18.7,6.8,0.8,2.1,13.7,14.7,0.579,0,0.58,0.579,0.648
Treveon Graham,SG,0.375,2.9,10,6.4,4.7,1.6,0.5,6,11.8,0.475,0.6,0.4,0.588,0.667
Jerami Grant,SF,0.448,2.7,12.2,7.4,4.2,1.1,4.1,10.1,12.1,0.463,0.371,0.514,0.529,0.612
Jerian Grant,PG,0.243,1.8,9.9,5.8,17.3,2.3,0.6,11.7,16,0.425,0.366,0.473,0.507,0.89
Danny Green,SG,0.071,2,11.8,7,9.6,2,2.6,14.1,13.5,0.392,0.379,0.42,0.523,0.844
Draymond Green,PF,0.328,4.6,20.9,13.3,27.6,3,3.4,19.8,16.2,0.418,0.308,0.494,0.481,0.709
Gerald Green,SF,0.177,3.6,13.9,8.8,9.8,0.8,1.1,9.1,22.7,0.409,0.351,0.463,0.494,0.805
JaMychal Green,PF,0.334,8.8,21.1,14.8,6.3,1.1,1.5,14.1,14.4,0.5,0.379,0.549,0.555,0.802
Jeff Green,PF,0.301,2.7,12.8,7.6,8.1,1.2,0.7,10.6,20.3,0.394,0.275,0.458,0.442,0.863
Blake Griffin,PF,0.434,6.1,20.2,13.4,24.5,1.4,0.9,10.9,28,0.493,0.336,0.514,0.513,0.76
