Player,Pos,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,FG%,3P%,2P%,eFG%,FT%
Damian Jones,C,0.625,12.4,17,14.8,0,0.6,3.7,22.7,13.4,0.5,,0.5,0.5,0.3
Derrick Jones,SF,0.339,7.6,8.2,7.9,3.1,1.2,1.9,8.6,11.7,0.562,0.273,0.591,0.574,0.707
James Jones,SF,0.217,0.9,9.8,5.5,5.2,0.9,2.1,9,13,0.478,0.47,0.5,0.647,0.65
Terrence Jones,PF,0.346,5.4,20.2,12.7,7.3,1.5,3.5,7.8,21.4,0.47,0.253,0.51,0.49,0.606
Tyus Jones,PG,0.238,1.5,8.7,5,28,3.1,0.6,16,13.6,0.414,0.356,0.454,0.486,0.767
DeAndre Jordan,C,0.737,13.3,34.6,24.2,5.7,1,4.3,13.2,15.3,0.714,0,0.717,0.714,0.482
Cory Joseph,SG,0.185,2.9,10.4,6.6,20,1.7,0.6,13.1,18.4,0.452,0.356,0.477,0.489,0.77
Frank Kaminsky,C,0.195,3.2,15.8,9.5,13.5,1.2,1.5,8,21.8,0.399,0.328,0.455,0.471,0.756
Enes Kanter,C,0.387,14.1,20.8,17.4,7.9,1,2,12.5,27.3,0.545,0.132,0.568,0.549,0.786
Ryan Kelly,PF,0.214,1,16.7,9,10.2,1.8,3.9,11.5,13.7,0.286,0.4,0.222,0.357,0.833
Michael Kidd-Gilchrist,SF,0.314,7.3,19.3,13.2,7.4,1.7,2.9,7.4,14.6,0.477,0.111,0.483,0.478,0.784
Sean Kilpatrick,SG,0.329,1.3,15.4,8.4,14.6,1.2,0.3,13.9,23.9,0.415,0.341,0.468,0.486,0.843
Brandon Knight,SG,0.293,2.3,9.1,5.6,17.8,1.1,0.4,13.1,25,0.398,0.324,0.425,0.441,0.857
Kyle Korver,SG,0.082,0.5,11,5.9,9.4,1,1,11.5,15.2,0.464,0.451,0.494,0.621,0.905
Kosta Koufos,C,0.158,9.7,22.9,16.4,5.3,1.3,3.1,12.7,15.3,0.551,0,0.552,0.551,0.613
Mindaugas Kuzminskas,SF,0.184,5,8.4,6.7,10.3,1.4,0.9,11.3,19.2,0.428,0.321,0.517,0.501,0.809
Skal Labissiere,PF,0.339,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3,0.537,0.375,0.543,0.544,0.703
Jeremy Lamb,SG,0.263,2.9,22.7,12.7,11.3,1.2,1.8,6.8,23.2,0.46,0.281,0.536,0.502,0.853
Nicolas Laprovittola,PG,0.191,0.7,5.7,3.3,23,1.2,0.5,27.2,18.2,0.426,0.37,0.5,0.532,1
Joffrey Lauvergne,PF,0.217,8,20.1,14.1,10.8,1.3,0.5,13.2,18.5,0.44,0.337,0.483,0.49,0.63
Zach LaVine,SG,0.197,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,0.459,0.387,0.515,0.544,0.836
Ty Lawson,PG,0.416,3,8.9,6,30,2.2,0.3,17.3,19.5,0.454,0.288,0.502,0.487,0.797
Jake Layman,SF,0.191,2.7,8,5.3,6.2,1.8,1,10.2,19,0.292,0.255,0.342,0.365,0.765
Courtney Lee,SG,0.139,2.3,9.1,5.7,10.6,1.6,0.8,8.5,14.4,0.456,0.401,0.49,0.533,0.867
David Lee,PF,0.269,11.6,21.9,16.9,13,1.1,2.2,14.9,16.9,0.59,,0.59,0.59,0.708
Alex Len,C,0.449,10.6,25.3,17.8,4.2,1.1,5.1,15.5,17.6,0.497,0.25,0.503,0.5,0.721
Kawhi Leonard,SF,0.407,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,0.485,0.381,0.529,0.541,0.88
Meyers Leonard,PF,0.106,2.4,19,10.7,8.4,0.5,1.8,8.1,15.5,0.386,0.347,0.436,0.484,0.875
Jon Leuer,PF,0.175,5.5,17.5,11.3,8.6,0.8,1.1,8.7,17.3,0.48,0.293,0.545,0.518,0.867
Caris LeVert,SF,0.245,2,13.9,8,13.7,1.9,0.5,12.3,16.6,0.45,0.321,0.571,0.528,0.72
DeAndre Liggins,SG,0.282,2.9,12.2,7.7,9.2,3,1.5,20.8,11.6,0.387,0.37,0.396,0.447,0.625
Damian Lillard,PG,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,0.444,0.37,0.491,0.516,0.895
Jeremy Lin,PG,0.353,1.3,14.7,8.1,35.5,2.2,1.2,15.7,26.6,0.438,0.372,0.48,0.51,0.816
